person_id,sources
46602,CIE 1953
53731,CIE 1953
21227,CIE 1953
52893,CIE 1953
62804,CIE 1953
68947,CIE 1953
44637,CIE 1953
21458,CIE 1953
53932,CIE 1953
54083,CIE 1953
35366,CIE 1953
46118,CIE 1953
44835,CIE 1953
45516,CIE 1953
44820,CIE 1953
35520,CIE 1953
46193,CIE 1953
37369,CIE 1953
43025,CIE 1953
43058,CIE 1953
42979,CIE 1953
6240,CIE 1953
6258,CIE 1953
42521,CIE 1953
14770,CIE 1953
17666,CIE 1953
19701,CIE 1953
15240,CIE 1953
43626,CIE 1953
43374,CIE 1953
43614,CIE 1953
54695,CIE 1953
54697,CIE 1953
71136,CIE 1953
71388,CIE 1953
53837,CIE 1953
53860,CIE 1953
20047,CIE 1953
19978,CIE 1953
15825,CIE 1953
67022,CIE 1953
3473,CIE 1953
3406,CIE 1953
19843,CIE 1953
40033,CIE 1953
40001,CIE 1953
40102,CIE 1953
42389,CIE 1953
42380,CIE 1953
42004,CIE 1953
42046,CIE 1953
41537,CIE 1953
41170,CIE 1953
42036,CIE 1953
41251,CIE 1953
42426,CIE 1953
42214,CIE 1953
41396,CIE 1953
41677,CIE 1953
32558,CIE 1953
46881,CIE 1953
47348,CIE 1953
47365,CIE 1953
18326,CIE 1953
36044,CIE 1953
44480,CIE 1953
3810,CIE 1953
44075,CIE 1953
28021,CIE 1953
28085,CIE 1953
36754,CIE 1953
50151,CIE 1953
50608,CIE 1953
50617,CIE 1953
49433,CIE 1953
50644,CIE 1953
50590,CIE 1953
49359,CIE 1953
53960,CIE 1953
57299,CIE 1953
57508,CIE 1953
54888,CIE 1953
54917,CIE 1953
47765,CIE 1953
47767,CIE 1953
30992,CIE 1953
67734,CIE 1953
67853,CIE 1953
69459,CIE 1953
67160,CIE 1953
67840,CIE 1953
66414,CIE 1953
60287,CIE 1953
60203,CIE 1953
65748,CIE 1953
65845,CIE 1953
66072,CIE 1953
66059,CIE 1953
66056,CIE 1953
57351,CIE 1953
59902,CIE 1953
55170,CIE 1953
63704,CIE 1953
59778,CIE 1953
60407,CIE 1953
59776,CIE 1953
65250,CIE 1953
49923,CIE 1953
52467,CIE 1953
21141,CIE 1953
47972,CIE 1953
48047,CIE 1953
39633,CIE 1953
40047,CIE 1953
39686,CIE 1953
39831,CIE 1953
29062,CIE 1953
20140,CIE 1953
14612,CIE 1953
12940,CIE 1953
13141,CIE 1953
46696,CIE 1953
33713,CIE 1953
2367,CIE 1953
2392,CIE 1953
64154,CIE 1953
13314,CIE 1953
12585,CIE 1953
12597,CIE 1953
63974,CIE 1953
64013,CIE 1953
48205,CIE 1953
57071,CIE 1953
58167,CIE 1953
58221,CIE 1953
57925,CIE 1953
9906,CIE 1953
10099,CIE 1953
74189,CIE 1953
53422,CIE 1953
49721,CIE 1953
49818,CIE 1953
51747,CIE 1953
51749,CIE 1953
51769,CIE 1953
51863,CIE 1953
51791,CIE 1953
51870,CIE 1953
21055,CIE 1953
32266,CIE 1953
22514,CIE 1953
22041,CIE 1953
16256,CIE 1953
10705,CIE 1953
10709,CIE 1953
77732,CIE 1953
33350,CIE 1953
36398,CIE 1953
19368,CIE 1953
35012,CIE 1953
34652,CIE 1953
1073,CIE 1953
15654,CIE 1953
60637,CIE 1953
29765,CIE 1953
13715,CIE 1958
14153,CIE 1958
14119,CIE 1958
21327,CIE 1958
995,CIE 1958
2140,CIE 1958
22169,CIE 1958
26841,CIE 1958
25312,CIE 1958
24594,CIE 1958
24118,CIE 1958
33053,CIE 1958
24935,CIE 1958
33418,CIE 1958
11828,CIE 1958
37676,CIE 1958
36734,CIE 1958
25299,CIE 1958
11153,CIE 1958
29493,CIE 1958
29496,CIE 1958
27473,CIE 1958
24020,CIE 1958
24060,CIE 1958
35050,CIE 1958
29103,CIE 1958
11114,CIE 1958
36728,CIE 1958
32928,CIE 1958
36495,CIE 1958
30715,CIE 1958
24081,CIE 1958
34062,CIE 1958
33346,CIE 1958
36814,CIE 1958
16359,CIE 1958
30097,CIE 1958
30091,CIE 1958
6919,CIE 1958
52765,CIE 1958
56046,CIE 1958
58927,CIE 1958
20217,CIE 1958
20410,CIE 1958
18984,CIE 1958
16581,CIE 1958
13848,CIE 1958
14300,CIE 1958
19652,CIE 1958
11358,CIE 1958
11417,CIE 1958
53177,CIE 1958
53168,CIE 1958
43184,CIE 1958
43292,CIE 1958
44741,CIE 1958
54186,CIE 1958
54188,CIE 1958
33903,CIE 1958
46387,CIE 1958
45226,CIE 1958
37260,CIE 1958
38871,CIE 1958
54836,CIE 1958
33907,CIE 1958
36301,CIE 1958
36139,CIE 1958
21535,CIE 1958
54926,CIE 1958
47811,CIE 1958
33944,CIE 1958
36320,CIE 1958
37466,CIE 1958
36358,CIE 1958
37252,CIE 1958
37509,CIE 1958
34774,CIE 1958
45680,CIE 1958
54958,CIE 1958
69748,CIE 1958
8979,CIE 1958
8932,CIE 1958
9715,CIE 1958
7986,CIE 1958
10282,CIE 1958
6700,CIE 1958
5949,CIE 1958
77766,CIE 1958
18881,CIE 1958
18555,CIE 1958
18909,CIE 1958
9698,CIE 1958
6464,CIE 1958
8951,CIE 1958
56931,CIE 1958
35253,CIE 1958
36889,CIE 1958
37750,CIE 1958
37103,CIE 1958
35174,CIE 1958
29535,CIE 1958
29046,CIE 1958
28727,CIE 1958
71691,CIE 1958
71947,CIE 1958
13579,CIE 1958
14370,CIE 1958
10439,CIE 1958
9861,CIE 1958
9656,CIE 1958
9805,CIE 1958
9850,CIE 1958
9691,CIE 1958
31844,CIE 1958
34948,CIE 1958
35012,CIE 1958
34951,CIE 1958
69221,CIE 1958
40290,CIE 1958
40368,CIE 1958
41766,CIE 1958
40493,CIE 1958
40416,CIE 1958
40544,CIE 1958
40339,CIE 1958
40467,CIE 1958
40372,CIE 1958
69354,CIE 1958
60930,CIE 1958
60977,CIE 1958
61010,CIE 1958
59504,CIE 1958
68457,CIE 1958
68475,CIE 1958
72709,CIE 1958
77346,CIE 1958
61295,CIE 1958
61153,CIE 1958
61515,CIE 1958
59453,CIE 1958
59202,CIE 1958
65023,CIE 1958
65101,CIE 1958
65352,CIE 1958
65455,CIE 1958
54803,CIE 1958
68150,CIE 1958
71099,CIE 1958
70985,CIE 1958
71074,CIE 1958
70961,CIE 1958
47565,CIE 1958
