person_id,societies,societies_number,societies_date,societies_status
11474,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
11344,Chinese Institute of Engineers 中華工程師學會,1093,by 1953,Full
11228,Chinese Institute of Engineers 中華工程師學會,665,by 1953,NA
4015,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
53177,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
53168,Chinese Institute of Engineers 中華工程師學會,1468,by 1953,Full
43184,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,NA
43292,Chinese Institute of Engineers 中華工程師學會,568,by 1953,Full
44741,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
54186,Chinese Institute of Engineers 中華工程師學會,193,by 1953,Full
54188,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
33903,Chinese Institute of Engineers 中華工程師學會,1295,by 1953,Full
46387,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
45226,Chinese Institute of Engineers 中華工程師學會,1222,by 1953,Full
37260,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
38871,Chinese Institute of Engineers 中華工程師學會,1132,by 1953,Full
54836,Chinese Institute of Engineers 中華工程師學會,1136,by 1953,Full
33907,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
36139,Chinese Institute of Engineers 中華工程師學會,741,by 1953,Full
21535,Chinese Institute of Engineers 中華工程師學會,1025,by 1953,Full
47811,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
33944,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
36320,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
36358,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
37252,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
37509,Chinese Institute of Engineers 中華工程師學會,1330,by 1953,Full
34774,Chinese Institute of Engineers 中華工程師學會,1380,by 1953,Full
38790,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
45680,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
54958,Chinese Institute of Engineers 中華工程師學會,628,by 1953,Assistant
38972,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
38936,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
8932,Chinese Institute of Engineers 中華工程師學會,1080,by 1953,Full
9715,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
10282,Chinese Institute of Engineers 中華工程師學會,167,by 1953,Full
6700,Chinese Institute of Engineers 中華工程師學會,570,by 1953,Full
5949,Chinese Institute of Engineers 中華工程師學會,453,by 1953,Full
77766,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
18881,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
18555,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
18909,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
9698,Chinese Institute of Engineers 中華工程師學會,1725,by 1953,Full
6464,Chinese Institute of Engineers 中華工程師學會,1401,by 1953,Full
56931,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
35253,Chinese Institute of Engineers 中華工程師學會,1505,by 1953,Full
36889,Chinese Institute of Engineers 中華工程師學會,505,by 1953,Full
37874,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
37103,Chinese Institute of Engineers 中華工程師學會,1320,by 1953,Full
29046,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
28727,Chinese Institute of Engineers 中華工程師學會,444,by 1953,Full
10439,Chinese Institute of Engineers 中華工程師學會,1663,by 1953,Full
9861,Chinese Institute of Engineers 中華工程師學會,1398,by 1953,NA
