employer_id,employer_name,location_id,parent_id,parent_name
1147,省會電燈廠,NA,NA,NA
1150,福建德源礦業公司,NA,NA,NA
1152,廣西西灣煤場,NA,NA,NA
1155,湖南江華礦務局,NA,NA,NA
1157,廣東曲江富國煤礦公司,13364,NA,NA
1159,Yunnan University 雲南大學,81,NA,NA
1164,上海大昌建築公司,877,NA,NA
1176,濟南材料廠,1177,NA,NA
1179,浦口材料廠,71,NA,NA
1193,上海楊樹浦電廠,877,NA,NA
1196,上海南洋烟草公司,877,NA,NA
1198,上海羅森德洋行,877,NA,NA
1200,上海安利洋行,877,NA,NA
1202,大冶礦廠,382,NA,NA
1214,杭州閘口電廠,999,NA,NA
1223,江西第一職業學校,70,NA,NA
1238,天津無線電公司,427,NA,NA
1240,湖南建設廳專門,67,NA,NA
1242,四路總指揮部,NA,NA,NA
1244,Hunan University 湖南大學,590,NA,NA
1248,華蓋建築事務所,NA,NA,NA
1278,浙江省立湘湖師範,999,NA,NA
1280,安徽省立第四女子中學,60,NA,NA
1282,浙江省電話局,62,NA,NA
1284,浙江省建設廳,62,NA,NA
1295,Shanghai Power Company 上海電力公司,877,NA,NA
1297,中央機器製造廠,NA,NA,NA
1312,南京電燈廠,90,NA,NA
1314,江蘇省立工業學校,1315,NA,NA
1317,上海商務印書館,877,NA,NA
1319,上海鑄豐搪瓷公司,877,NA,NA
1321,Pootung Electricity Company 浦東電氣公司,1322,NA,NA
1326,上海銀行,92,NA,NA
1339,General Electric,146,NA,NA
1341,Philco,NA,NA,NA
1343,Stone & Webster Co.,1344,NA,NA
1349,萬縣水電廠,1350,NA,NA
1354,中央軍官學校成都分校,607,NA,NA
1385,Larkin Co.,74748,NA,NA
1389,Procter & Comble Co.,74749,NA,NA
1391,Miner Laboratories,12065,NA,NA
1393,五洲固本藥皂,NA,NA,NA
1398,Shanghai Public Utility Bureau 上海市公用局,877,NA,NA
1405,上海光華火油公司工,877,NA,NA
1407,上海合中企業公司,877,NA,NA
1418,浙江杭江水利局,62,NA,NA
1420,Zhejiang Highway Department 浙江公路局,62,NA,NA
1423,江南水利處,NA,NA,NA
1431,Henan Construction Department 河南建設廳,66,NA,NA
1496,工兵測探局,NA,NA,NA
1501,滬杭鐵路,NA,NA,NA
1504,山東天源煤礦,77,NA,NA
1507,浦鎮機廠,71,NA,NA
1510,上饒機廠,1511,NA,NA
1527,National Construction Commission 建設委員會,90,NA,NA
1541,Central University 中央大學,90,NA,NA
1547,江蘇淞江建設局,71,NA,NA
1550,上海楊錫鏐建築師事務所,877,NA,NA
1552,上海靜波建築事務所,877,NA,NA
1562,湖北沙市汽車站工程處,590,NA,NA
1571,Shanxi University 山西大學,726,NA,NA
1595,審計部上海市審計處,877,NA,NA
1600,新中公司,877,NA,NA
1610,湖北漢宣路,68,NA,NA
1648,錢塘江工程局,NA,NA,NA
1662,山西忻窰支線,76,NA,NA
1685,東京王子製紙株式會社,604,NA,NA
1688,山西晉恒造紙廠,76,NA,NA
1698,四川第四區專員公署,1434,NA,NA
1706,華新紗廠,NA,NA,NA
1718,福建閩江工程局,61,NA,NA
1721,莆田電廠,1714,NA,NA
1724,福建長樂蓮柄港溉田管理處,1725,NA,NA
1727,湘西電廠,NA,NA,NA
1735,寧波四明電話公司,1736,NA,NA
1738,紹興電話公司,909,NA,NA
1754,川康農田水利貸款委員會,1434,NA,NA
1760,軍委會營房設計委員會,NA,NA,NA
1763,安徽蚌埠市政籌備處,1028,NA,NA
1766,江南海塘工務處,NA,NA,NA
1774,南京客車房,90,NA,NA
1786,New York State Highway Department,146,NA,NA
1788,Dodge Bros Corporation,NA,NA,NA
1790,吳淞中國鐵工廠,877,NA,NA
1792,上海開灤煤礦碼頭,877,NA,NA
1794,上海大鑫鋼鐵工廠,877,NA,NA
1800,Westinghouse Elec. & Mfg. Co.,1801,NA,NA
1804,吳淞無線電報局,877,NA,NA
1806,寧波無線電報局,1736,NA,NA
1809,交通部商船學校,NA,NA,NA
1811,航務專員學校,NA,NA,NA
1813,中國無線電工程學校,NA,NA,NA
1815,國營招商局,NA,NA,NA
1820,Guangdong Construction Bureau 廣東建設廳,74,NA,NA
1843,南昌航空機械學校,522,NA,NA
1849,南洋荷屬爪哇茉莉芬糖廠,1850,NA,NA
1853,廣東硫酸蘇打廠,74,NA,NA
1855,資源委員會化工材料廠,NA,NA,NA
1860,Wilson Foundry,1387,NA,NA
1862,廣東硫酸廠,74,NA,NA
1865,廣州第四路軍軍墾煉礦廠,350,NA,NA
1879,Tsinghua (Qinghua) University 清華大學,410,NA,NA
1895,杭州飛機製造廠,999,NA,NA
1912,Hsiang Hua Electricity Company 上海翔華電氣公司,877,NA,NA
1914,桐城光明電氣公司,1227,NA,NA
1916,安徽省會電話局,60,NA,NA
1939,大連電車作業所,1940,NA,NA
1943,八幡製鋼所,NA,NA,NA
1947,奉天省長公署,64,NA,NA
1957,Sun Yat-sen University 中山大學,350,NA,NA
1960,奉天電燈廠,64,NA,NA
1963,Fengyong University 馮庸大學,511,NA,NA
1965,兵工廠兵工學校,NA,NA,NA
1967,奉天建設廳,64,NA,NA
1980,江岸機廠,1981,NA,NA
1998,南京僑務委員會,90,NA,NA
2017,中央軍官學校,NA,NA,NA
2019,江蘇省土地整理委員會,71,NA,NA
2021,鎮江縣政府土地局 (鎮江土地局),1618,NA,NA
2025,Beiyang University/Beiyang Technical Institute 北洋大學/北洋工學院,427,NA,NA
2044,上海英商電氣公司,877,NA,NA
2048,Chinese Engineering and Development Company 天津大昌實業公司,427,NA,NA
2056,天津工部局,427,NA,NA
2080,奉天電車,64,NA,NA
2083,Jilin–Hailong Railway 吉海鐵路,7874,NA,NA
2085,遼寧建設廳,64,NA,NA
2088,哈爾濱電報局,13060,NA,NA
2093,哈爾濱電話局,13060,NA,NA
2105,日本廣島瓦斯會社,2106,NA,NA
2108,東京電氣試驗所,604,NA,NA
2110,上海五和精鹽公司,877,NA,NA
2112,上海開成造酸公司,877,NA,NA
2117,上海亞洲電氣公司,877,NA,NA
2124,Diedrich 織染廠,159,NA,NA
2127,廣州市立師範學校,350,NA,NA
2129,廣東教育廳,350,NA,NA
2131,Guangdong Polytechnical College 廣東工專,350,NA,NA
2133,勷勤大學工學院教,350,NA,NA
2135,國華染織工廠,NA,NA,NA
2154,北平電台,410,NA,NA
2156,聯合電報,NA,NA,NA
2158,International Channel Shanghai 上海國際電台,877,NA,NA
2170,Jiangxi Polytechnical College 江西工業專門學校,70,NA,NA
2178,上海無線電台,877,NA,NA
2180,南京無線電台,90,NA,NA
2182,洛陽無線電台,2183,NA,NA
2185,四川無線電台,1434,NA,NA
2188,福州無線電台,419,NA,NA
2190,北平無線電台,410,NA,NA
2192,上海海關,877,NA,NA
2215,北京女子大學,410,NA,NA
2226,禪臣洋行,NA,NA,NA
2239,瑞士電氣公司,2240,NA,NA
2242,Esche Weiss 廠,NA,NA,NA
2245,Hangzhou Electric Power Plant 杭州電廠,999,NA,NA
2248,杭州電氣公司,999,NA,NA
2252,麗水分廠,2253,NA,NA
2257,日本東京電燈公司,604,NA,NA
2259,芝浦製造所,NA,NA,NA
2263,湖北實業司,68,NA,NA
2265,湖北工業學校,68,NA,NA
2268,武昌高師,356,NA,NA
2270,武昌師範大學,356,NA,NA
2273,湖北教育廳,68,NA,NA
2275,Jiji Hydroelectric Company 漢口既濟水電公司,2380,NA,NA
2283,上海法租界工部局,877,NA,NA
2285,安徽大學,1903,NA,NA
2287,廣東黃埔海軍學校,350,NA,NA
2299,皇姑屯機廠,NA,NA,NA
2322,Zhejiang Construction Bureau 浙江建設廳,62,NA,NA
2325,河北井陘礦廠,632,NA,NA
2330,青島市自來水廠,2331,NA,NA
2358,箇舊錫務公司,NA,NA,NA
2360,富滇銀行,NA,NA,NA
2362,雲南實業廳,NA,NA,NA
2364,昆明富田新銀行,556,NA,NA
2366,雲南省政府,81,NA,NA
2373,Standard Telephones & Cables Ltd.,125,NA,NA
