person_id,societies,societies_number,societies_date,societies_status
1538,NA,NA,Republican era,NA
1543,NA,NA,Republican era,NA
1558,NA,NA,Republican era,NA
1563,NA,NA,Republican era,NA
1566,NA,NA,Republican era,NA
1572,NA,NA,Republican era,NA
1575,NA,NA,Republican era,NA
1577,NA,NA,Republican era,NA
1580,NA,NA,Republican era,NA
1588,NA,NA,Republican era,NA
1591,NA,NA,Republican era,NA
1596,Chinese Institute of Electrical Engineers 中國電機工程師學會,NA,Republican era,NA
1603,China Engineering Society 中國工程學會,NA,Republican era,NA
1606,NA,NA,Republican era,NA
1611,NA,NA,Republican era,NA
1613,NA,NA,Republican era,NA
1617,China Colourists’ Association 中國染化工程學會,NA,Republican era,NA
1620,NA,NA,Republican era,NA
1625,NA,NA,Republican era,NA
1629,NA,NA,Republican era,NA
1632,NA,NA,Republican era,NA
1635,NA,NA,Republican era,NA
1639,NA,NA,Republican era,NA
1642,NA,NA,Republican era,NA
1654,NA,NA,Republican era,NA
1658,NA,NA,Republican era,NA
1663,Chinese Institute of Engineers 中華工程師學會,NA,Republican era,NA
1668,NA,NA,Republican era,NA
1670,NA,NA,Republican era,NA
1673,NA,NA,Republican era,NA
1677,NA,NA,Republican era,NA
1681,NA,NA,Republican era,NA
1691,NA,NA,Republican era,NA
1693,NA,NA,Republican era,NA
1699,NA,NA,Republican era,NA
1707,NA,NA,Republican era,NA
1710,NA,NA,Republican era,NA
1713,NA,NA,Republican era,NA
1728,NA,NA,Republican era,NA
1739,NA,NA,Republican era,NA
1743,NA,NA,Republican era,NA
1745,NA,NA,Republican era,NA
1747,NA,NA,Republican era,NA
1755,NA,NA,Republican era,NA
1768,NA,NA,Republican era,NA
1778,NA,NA,Republican era,NA
1781,NA,NA,Republican era,NA
1796,Chinese Institute of Electrical Engineers 中國電機工程師學會,NA,Republican era,NA
1796,American Institute of Electrical Engineers,NA,Republican era,NA
1796,American Radio Relay League,NA,Republican era,NA
1796,China Engineering Society 中國工程學會,NA,Republican era,NA
1796,China Amateur Radio Union,NA,Republican era,NA
1816,NA,NA,Republican era,NA
1822,NA,NA,Republican era,NA
1826,NA,NA,Republican era,NA
1829,NA,NA,Republican era,NA
1831,NA,NA,Republican era,NA
1836,NA,NA,Republican era,NA
1838,NA,NA,Republican era,NA
1844,NA,NA,Republican era,NA
1846,NA,NA,Republican era,NA
1856,NA,NA,Republican era,NA
1866,NA,NA,Republican era,NA
1872,NA,NA,Republican era,NA
1874,NA,NA,Republican era,NA
1880,NA,NA,Republican era,NA
1884,NA,NA,Republican era,NA
1887,NA,NA,Republican era,NA
1890,NA,NA,Republican era,NA
1896,NA,NA,Republican era,NA
1898,NA,NA,Republican era,NA
1900,NA,NA,Republican era,NA
1902,NA,NA,Republican era,NA
1905,NA,NA,Republican era,NA
1917,NA,NA,Republican era,NA
1918,NA,NA,Republican era,NA
1921,NA,NA,Republican era,NA
1922,NA,NA,Republican era,NA
1925,NA,NA,Republican era,NA
1929,NA,NA,Republican era,NA
1930,NA,NA,Republican era,NA
1933,NA,NA,Republican era,NA
1935,NA,NA,Republican era,NA
1936,Chinese Institute of Electrical Engineers 中國電機工程師學會,NA,Republican era,NA
1971,NA,NA,Republican era,NA
1974,NA,NA,Republican era,NA
1982,NA,NA,Republican era,NA
1986,NA,NA,Republican era,NA
1989,Chinese Institute of Electrical Engineers 中國電機工程師學會,NA,Republican era,NA
1992,NA,NA,Republican era,NA
2000,NA,NA,Republican era,NA
